task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
106	f8/64709a	47743	BAM_CLEAN:BAM_REMOVE_ORPHANS (SPT5_T0_R2)	COMPLETED	0	2021-01-30 02:37:49.086	2s	1.3s	111.5%	22.1 MB	1.7 GB	14.8 MB	9.6 MB
107	f5/e8c58c	48051	BAM_CLEAN:BAM_REMOVE_ORPHANS (SPT5_T15_R1)	COMPLETED	0	2021-01-30 02:37:51.075	2.5s	1.9s	110.1%	31.6 MB	1.7 GB	20.3 MB	13.5 MB
108	64/42bc97	48358	BAM_CLEAN:BAM_REMOVE_ORPHANS (SPT5_T15_R2)	COMPLETED	0	2021-01-30 02:37:53.625	2.6s	1.9s	110.7%	29.5 MB	1.7 GB	20.2 MB	13.4 MB
109	98/492243	48669	BAM_CLEAN:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (SPT5_INPUT_R2)	COMPLETED	0	2021-01-30 02:37:56.232	1.2s	560ms	150.4%	36.5 MB	1.7 GB	9.7 MB	9.1 MB
110	fe/557431	48929	BAM_CLEAN:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (SPT5_INPUT_R1)	COMPLETED	0	2021-01-30 02:37:57.437	1.3s	566ms	144.6%	64.1 MB	1.8 GB	9.4 MB	8.9 MB
111	b4/cba0a5	49195	BAM_CLEAN:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (SPT5_T0_R1)	COMPLETED	0	2021-01-30 02:37:58.787	1.1s	334ms	155.2%	45.2 MB	1.9 GB	5.6 MB	4.9 MB
112	e5/828ecf	49449	BAM_CLEAN:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (SPT5_T0_R2)	COMPLETED	0	2021-01-30 02:37:59.849	1.1s	317ms	146.9%	41.3 MB	1.9 GB	4.9 MB	4.2 MB
113	c4/c97855	49705	BAM_CLEAN:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (SPT5_T15_R1)	COMPLETED	0	2021-01-30 02:38:00.905	1.1s	416ms	151.2%	39.1 MB	1.7 GB	6.8 MB	5.8 MB
114	1a/9cfc28	49973	BAM_CLEAN:BAM_SORT_SAMTOOLS:SAMTOOLS_SORT (SPT5_T15_R2)	COMPLETED	0	2021-01-30 02:38:01.996	1.1s	413ms	150.0%	42.4 MB	1.7 GB	6.7 MB	5.9 MB
115	07/da7cc2	50232	PRESEQ_LCEXTRAP (SPT5_INPUT_R2)	FAILED	127	2021-01-30 02:38:03.115	816ms	718ms	-	-	-	-	-
116	41/707a6f	50417	HOMER_CALLPEAK_WITHOUT_CONTROL:HOMER_MAKETAGDIRECTORY (SPT5_INPUT_R2)	COMPLETED	0	2021-01-30 02:38:03.935	2.4s	1.8s	61.7%	9.4 MB	27.1 MB	84.3 MB	68.5 MB
118	47/15bc77	50775	PHANTOMPEAKQUALTOOLS (SPT5_INPUT_R2)	FAILED	1	2021-01-30 02:38:06.381	4.2s	4.1s	-	-	-	-	-
117	13/8f0fd2	51224	BAM_CLEAN:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (SPT5_INPUT_R2)	COMPLETED	0	2021-01-30 02:38:10.594	747ms	114ms	92.3%	11.9 MB	26.4 MB	9.3 MB	10.7 KB
120	37/304591	51486	MACS2_CALLPEAK_WITHOUT_CONTROL (SPT5_INPUT_R2)	COMPLETED	0	2021-01-30 02:38:11.343	1.8s	1.1s	91.1%	13 MB	18.4 MB	21.2 MB	7.5 MB
119	58/ea8fbc	51818	PICARD_COLLECTMULTIPLEMETRICS (SPT5_INPUT_R2)	COMPLETED	0	2021-01-30 02:38:13.106	6.3s	5.5s	187.6%	193.9 MB	17.1 GB	58.6 MB	92.4 KB
121	b9/5a932f	52614	BAM_CLEAN:BAM_SORT_SAMTOOLS:SAMTOOLS_INDEX (SPT5_INPUT_R1)	COMPLETED	0	2021-01-30 02:38:19.395	704ms	101ms	100.0%	12 MB	26.4 MB	9 MB	10.5 KB
123	cd/4a26c1	52865	PHANTOMPEAKQUALTOOLS (SPT5_INPUT_R1)	FAILED	1	2021-01-30 02:38:20.101	3.2s	3.1s	-	-	-	-	-
124	64/82c6e4	53240	HOMER_CALLPEAK_WITHOUT_CONTROL:HOMER_MAKETAGDIRECTORY (SPT5_INPUT_R1)	COMPLETED	0	2021-01-30 02:38:23.316	2.3s	1.7s	63.0%	9.4 MB	27.1 MB	81.6 MB	66.3 MB
125	7b/c91fb4	53598	PRESEQ_LCEXTRAP (SPT5_INPUT_R1)	FAILED	127	2021-01-30 02:38:25.663	599ms	506ms	-	-	-	-	-
126	7a/67326d	53767	MACS2_CALLPEAK_WITHOUT_CONTROL (SPT5_INPUT_R1)	COMPLETED	0	2021-01-30 02:38:26.266	1.6s	979ms	101.0%	13 MB	18.2 MB	20.8 MB	7.4 MB
